,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.242,0.272,0.49373143448122747,0.26044430072323427,0.7180020345292846,0.5264515966535296,0.7209793590505683,1000,0.5,0.5,0,1000,191664963
1,0.736,0.755,0.46134251866182674,0.3127769279354186,0.7242667496558155,0.5162430956082573,0.7255714811363309,1000,0.5,0.5,0,1000,1662057957
2,0.965,0.968,0.03047389052376691,0.08242931407839212,0.7060142185063532,0.4793325283706426,0.7181326559210357,1000,0.5,0.5,0,1000,1405681631
3,0.164,0.164,0.2080445320994349,0.017206856381309223,0.7256588805272213,0.5444147367858391,0.7282631611269841,1000,0.5,0.5,0,1000,942484272
4,0.956,0.957,0.03348269601668649,0.2529497087943782,0.7321842847782236,0.5233038851132737,0.7495608394252489,1000,0.5,0.5,0,1000,929893137
5,0.544,0.549,0.8201779119140475,0.46336604779443435,0.7221463305156798,0.5338480423443204,0.7431496892806714,1000,0.5,0.5,0,1000,1843824992
6,0.965,0.957,0.03774385721193752,0.012182750654410547,0.7381206074228654,0.5266308942816422,0.7471301650057185,1000,0.5,0.5,0,1000,184566854
7,0.468,0.487,0.9339114606344634,0.7591075880960262,0.7606341637436229,0.5539457683096994,0.7269546604582822,1000,0.5,0.5,0,1000,1497586438
8,0.35,0.325,0.7045670290487583,0.21195212793624854,0.7374062363321157,0.5584236609669048,0.7510698670961067,1000,0.5,0.5,0,1000,432652533
9,0.833,0.831,0.2861048803398189,0.16864057965676477,0.7409804479373626,0.5336176038026373,0.7376194887475798,1000,0.5,0.5,0,1000,202244314
10,0.318,0.328,0.6080844069040772,0.39216066090619817,0.7478911806979194,0.5581970117381024,0.7380442590759638,1000,0.5,0.5,0,1000,1130604997
11,0.788,0.806,0.3759616484555003,0.7245951245527003,0.7388477095311476,0.5422136151453741,0.7482647773857939,1000,0.5,0.5,0,1000,2095133045
12,0.828,0.829,0.3190533838889624,0.9089365925651764,0.729416610055355,0.5188482002783704,0.7283181373550369,1000,0.5,0.5,0,1000,1580016183
13,0.739,0.73,0.43493401482602034,0.7508266846253796,0.7216175541336328,0.5395995415155437,0.7608121525771191,1000,0.5,0.5,0,1000,1634535062
14,0.143,0.146,0.17545901075808623,0.09666202633143048,0.7411858288039546,0.5684432296372882,0.7446651588900417,1000,0.5,0.5,0,1000,1540770719
15,0.491,0.514,0.9473300156806381,0.5884765912670868,0.739655449209357,0.5520857349253366,0.7453271287642607,1000,0.5,0.5,0,1000,1688060240
16,0.251,0.255,0.41389278370240745,0.1581350964933922,0.7088861595825722,0.5200219777152227,0.7185835062284883,1000,0.5,0.5,0,1000,1102145672
17,0.926,0.93,0.07915427114787135,0.2826638064462546,0.7357774255624265,0.526558846499751,0.7444177970676131,1000,0.5,0.5,0,1000,275121930
18,0.757,0.747,0.46833794766914016,0.893688535226595,0.7315239007300265,0.5153029511975781,0.7169068313120276,1000,0.5,0.5,0,1000,1803345590
19,0.156,0.163,0.23336046156160192,0.10993791515375183,0.7427918414334223,0.5479814773847925,0.7175987722232621,1000,0.5,0.5,0,1000,967196436
20,0.565,0.576,0.833255412401515,0.8676146136792489,0.736936058319816,0.541167327552561,0.7378484499289271,1000,0.5,0.5,0,1000,1074497555
21,0.454,0.44,0.7556081175564717,0.6752755225448708,0.7467510251862132,0.5618058257685733,0.7473350708610995,1000,0.5,0.5,0,1000,796282693
22,0.179,0.156,0.2321950367363997,0.1018537716752031,0.7516816326993551,0.5743564102810309,0.7450195606556266,1000,0.5,0.5,0,1000,392022359
23,0.739,0.763,0.4016194990386518,0.687464312170049,0.7253219215405436,0.5231821981832534,0.7356577198551233,1000,0.5,0.5,0,1000,1990212658
24,0.243,0.219,0.40840446943483055,0.03818351245339251,0.7403872425764099,0.5635266909890515,0.7475930679063542,1000,0.5,0.5,0,1000,1678403330
25,0.172,0.183,0.23691024512992442,0.07622815144172826,0.7388023749089193,0.5648177192289099,0.744963809043064,1000,0.5,0.5,0,1000,1382689815
26,0.167,0.173,0.23902361245863638,0.28297879516815994,0.7419561986092518,0.5751705688375531,0.7562076906072417,1000,0.5,0.5,0,1000,864178266
27,0.149,0.168,0.19660163241696524,0.061857839033187104,0.7291783755222371,0.5558556986034079,0.7402901905409801,1000,0.5,0.5,0,1000,1766867109
28,0.265,0.244,0.44477196065243796,0.7410209664177259,0.7500007065445223,0.5647220795717516,0.7406626300742276,1000,0.5,0.5,0,1000,1171300112
29,0.75,0.776,0.35229221240678676,0.9934361116255164,0.7083458548556731,0.4843960729701557,0.7010420753755638,1000,0.5,0.5,0,1000,952224740
30,0.096,0.1,0.10959701041221839,0.035747531799219155,0.7356783092006808,0.5655792931756134,0.7419789956096491,1000,0.5,0.5,0,1000,967354524
31,0.092,0.1,0.08553686516254898,0.0003961796328057905,0.7197042633320389,0.5460427980781687,0.7281668816832018,1000,0.5,0.5,0,1000,487991438
32,0.412,0.428,0.7410609948796008,0.5173727308612999,0.7514078051586148,0.5663331849102422,0.7484621771720181,1000,0.5,0.5,0,1000,197860368
33,0.81,0.789,0.30321372480080694,0.7661938168558716,0.7290095393730193,0.522582856497344,0.7342965577976815,1000,0.5,0.5,0,1000,1190961760
34,0.069,0.082,0.07095148223797894,0.028412784463090854,0.7093260071404972,0.5347552609271339,0.720685756448529,1000,0.5,0.5,0,1000,1906728918
35,0.857,0.864,0.19189140453947895,0.22489067714863098,0.7434520163399417,0.533308647941857,0.7385211213178324,1000,0.5,0.5,0,1000,137046513
36,0.923,0.938,0.08188424154296267,0.042432348322022244,0.7580419952260047,0.5464529150728469,0.7476597446322596,1000,0.5,0.5,0,1000,1843166518
37,0.54,0.578,0.9255566359338859,0.8297584101353076,0.7578212329945279,0.5604511421804177,0.7410211662804657,1000,0.5,0.5,0,1000,1777324407
38,0.8,0.781,0.3500161762702413,0.8267765814840224,0.7453142436941335,0.5333559425610259,0.7308788879239093,1000,0.5,0.5,0,1000,594336917
39,0.55,0.541,0.8648543114899402,0.4335654361260871,0.741382493196682,0.5450283509763618,0.7379493426653932,1000,0.5,0.5,0,1000,1356488967
40,0.681,0.681,0.6465415193458355,0.7227306538315376,0.7389394129012721,0.5429962123011026,0.7423644949562135,1000,0.5,0.5,0,1000,354826746
41,0.232,0.263,0.46621291133023257,0.42045883845395904,0.7485281377083152,0.5661304592382747,0.7446121356219624,1000,0.5,0.5,0,1000,1627981024
42,0.71,0.701,0.558231543036974,0.9097849463444009,0.7330569991508484,0.5391540415193767,0.7452081258505545,1000,0.5,0.5,0,1000,1504361614
43,0.32,0.331,0.5432946585477212,0.4303032549950859,0.7200368766864983,0.5357252673748297,0.7333686690778761,1000,0.5,0.5,0,1000,761338718
44,0.697,0.728,0.5045583131195719,0.270057688694841,0.7321231484440623,0.5317037440393241,0.7374581420839121,1000,0.5,0.5,0,1000,145857092
45,0.846,0.841,0.3316951358622011,0.32857639042411857,0.7423538647690263,0.5134887133835053,0.7080762835287695,1000,0.5,0.5,0,1000,2084558133
46,0.819,0.793,0.36268632766912023,0.4360522828786644,0.7045770752656473,0.4963630559034437,0.7211294342047552,1000,0.5,0.5,0,1000,957106589
47,0.377,0.363,0.6151221268156553,0.47196468289870197,0.737691153094698,0.55581456391022,0.7451516447129396,1000,0.5,0.5,0,1000,1917963002
48,0.318,0.321,0.5242155968712519,0.6989800790231602,0.7529800889646466,0.5662210671904667,0.7418261909007886,1000,0.5,0.5,0,1000,1455819991
49,0.069,0.078,0.0734097695186099,0.19244720028270904,0.7273740405876582,0.5427135148608453,0.7144436384536884,1000,0.5,0.5,0,1000,1671565830
50,0.132,0.136,0.19961315278905623,0.0322104477875834,0.7175479087321021,0.537047218333118,0.7255267839282352,1000,0.5,0.5,0,1000,1631871623
51,0.841,0.841,0.2395945177021399,0.613699658680207,0.7215420048921989,0.49847990120635505,0.7116590548987913,1000,0.5,0.5,0,1000,417983441
52,0.19,0.184,0.2856034204197897,0.07603543376464912,0.7204790435592345,0.5441523190596659,0.7365915680365287,1000,0.5,0.5,0,1000,781482251
53,0.662,0.679,0.612972259417107,0.8679050840026323,0.7345875644037332,0.5403788679861784,0.7440048817900587,1000,0.5,0.5,0,1000,1002275723
54,0.89,0.88,0.15918373111832118,0.4492209040492592,0.7463824109085021,0.5244312714254341,0.7256331998065224,1000,0.5,0.5,0,1000,1068999196
