,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.892,0.887,0.8927019078307366,0.8951057644015269,0.00037588740646436015,0.00165374969575122,0.00035984744668398147,50,0.0,0.0,0.0,1000,191664963
1,0.643,0.652,0.6521968022239502,0.563129347301687,0.0005164476768893991,0.006607061827585776,0.00408817697659973,50,0.0,0.0,0.0,1000,1662057957
2,0.514,0.515,0.4707272829825697,0.5896225417924293,0.003220924660362719,0.010610745506054309,0.00978141236761577,50,0.0,0.0,0.0,1000,1405681631
3,0.643,0.638,0.6201600677976394,0.24569114316578122,0.001962323468527387,0.003127351802318779,0.0048890320442468065,50,0.0,0.0,0.0,1000,942484272
4,0.85,0.851,0.9334149126184358,0.8950546216877492,0.04642338644691943,0.02916540915381272,0.0006254120824803713,50,0.0,0.0,0.0,1000,929893137
5,0.532,0.542,0.5089378323784561,0.9341727837939537,0.0026704834405978576,0.029147894004060673,0.007440936336174388,50,0.0,0.0,0.0,1000,1843824992
6,0.76,0.723,0.6806199310738612,0.8254672064357932,0.03182424220076367,0.0033473760008939668,0.0023929452007742697,50,0.0,0.0,0.0,1000,184566854
7,0.597,0.543,0.6021224743007416,0.3935238953181941,0.0022510653260233164,0.006220319647386311,0.006361506956578799,50,0.0,0.0,0.0,1000,1497586438
8,0.694,0.696,0.7061952059377621,0.7269334419474884,0.0006716378866450585,0.0028403369952185163,0.00319473410906476,50,0.0,0.0,0.0,1000,432652533
9,0.198,0.19,0.11071647346908509,0.16383245479165723,0.04770595605955588,0.02197619425198394,0.0362091606313697,50,0.0,0.0,0.0,1000,202244314
10,0.824,0.798,0.9830755264073191,0.8216510280762479,0.016428782897398873,0.0968409772720743,0.0013656838223382321,50,0.0,0.0,0.0,1000,1130604997
11,0.689,0.68,0.700600843278427,0.4861220519834779,1.7871563839233388e-06,0.007515389137252432,0.0031634377925749174,50,0.0,0.0,0.0,1000,2095133045
12,0.349,0.374,0.3925340099741116,0.36818777163780414,0.045119195816892395,0.000696652461684982,0.016283303329076442,50,0.0,0.0,0.0,1000,1580016183
13,0.808,0.808,0.7657940515161392,0.7438732594853664,0.032470120460549916,0.0015967281801854965,0.0012753356343249706,50,0.0,0.0,0.0,1000,1634535062
14,0.188,0.201,0.09521786661975086,0.15370678343749597,0.06173612469323078,0.029466161217664922,0.03510885500602937,50,0.0,0.0,0.0,1000,1540770719
15,1.0,1.0,0.8661070868460891,0.4205540857180732,0.022350491268177848,0.02625078082435461,1.0415673273990494e-08,50,0.0,0.0,0.0,1000,1688060240
16,0.632,0.651,0.599083035372217,0.723526394300642,0.0075684634756218025,0.017706618247253197,0.004151000205637125,50,0.0,0.0,0.0,1000,1102145672
17,0.23,0.223,0.28742908725931376,0.23316948719792477,0.00800704064295258,0.07385955563946282,0.029906141407132582,50,0.0,0.0,0.0,1000,275121930
18,0.437,0.445,0.36990113770608957,0.49229147778314897,0.051417409298611334,0.007500932992402653,0.011533307124233257,50,0.0,0.0,0.0,1000,1803345590
19,0.354,0.349,0.35082607576779634,0.1905235144550499,0.056129545029444464,5.6808233458921224e-05,0.017033062981220422,50,0.0,0.0,0.0,1000,967196436
20,0.817,0.817,0.8106958520047323,0.7491643251036424,0.001385915999169839,0.001284407560518366,0.0011379293077797825,50,0.0,0.0,0.0,1000,1074497555
21,0.446,0.442,0.38667155817361853,0.7057699254825403,0.028887118839637186,0.004288293036920584,0.012813486324029176,50,0.0,0.0,0.0,1000,796282693
22,0.302,0.252,0.468756384503354,0.4428498567148379,0.08639526269993261,0.02939083267656665,0.022546637592454243,50,0.0,0.0,0.0,1000,392022359
23,0.253,0.258,0.30950129815359045,0.31339476650081877,0.0037281797182978555,0.05476096724914037,0.0249981594462954,50,0.0,0.0,0.0,1000,1990212658
24,0.001,0.001,0.0012816882060138735,0.0018392010225171337,0.00036249420883577305,0.008094327262715376,0.199664282721313,50,0.0,0.0,0.0,1000,1678403330
25,0.83,0.851,0.8003215786612832,0.9996337781225137,0.002775293264220339,0.015846583469304797,0.0009060134559651498,50,0.0,0.0,0.0,1000,1382689815
