,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.897,0.895,0.8913033072302906,0.7211179433357531,5.756822966151872e-05,0.00039361547481134307,0.0006326532433868049,50,0.0,0.0,0.0,1000,191664963
1,0.446,0.448,0.4521304091006977,0.6472728398059562,0.002118166768070815,0.011208102290603345,0.006118583633990379,50,0.0,0.0,0.0,1000,1662057957
2,0.659,0.669,0.6406958065793082,0.5377445410873531,0.002668989517591295,0.003830891711489135,0.013156588523228565,50,0.0,0.0,0.0,1000,1405681631
3,0.417,0.417,0.4050857463399963,0.2539236033945696,0.0001556004409432706,0.014445076908279893,0.006774259646267131,50,0.0,0.0,0.0,1000,942484272
4,0.158,0.171,0.17696161625690893,0.41092297417497925,0.044460778850142185,0.04135928783859194,0.003252411167817084,50,0.0,0.0,0.0,1000,929893137
5,0.202,0.209,0.2056725046433353,0.4848905138978843,0.002672368935636876,0.03217296841726696,0.005593782834518818,50,0.0,0.0,0.0,1000,1843824992
6,0.747,0.722,0.7051847974392872,0.7912000813308563,0.023053641476548814,0.002225953057110389,0.0024701996472567636,50,0.0,0.0,0.0,1000,184566854
7,0.578,0.568,0.5687461722716709,0.6021397912242532,0.00030737111322178944,0.007137863671116515,0.0055331626255793395,50,0.0,0.0,0.0,1000,1497586438
8,0.581,0.574,0.5949696162758485,0.603150726190121,2.3958208486790508e-05,0.006083184982080027,0.004869672450947931,50,0.0,0.0,0.0,1000,432652533
9,0.32,0.301,0.16229364311391947,0.1756013834404689,0.04393183967665247,0.023302549048239734,0.03952200694753192,50,0.0,0.0,0.0,1000,202244314
10,0.021,0.026,0.030078389834742456,0.02966532570865876,0.016304567462161808,0.09844056141587451,0.002595994430119098,50,0.0,0.0,0.0,1000,1130604997
11,0.826,0.84,0.8352102967174254,0.6212082131263057,6.360283392207874e-05,0.0009468233722984617,0.0013598352893161253,50,0.0,0.0,0.0,1000,2095133045
