,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.777,0.779,0.7815035521798952,0.7211179433357542,0.00025464935178251937,0.0016237260189881561,0.0004696900388019406,50,0.0,0.0,0.0,1000,191664963
1,0.543,0.546,0.5325845849923865,0.6472728398059565,0.0012757422383664462,0.007797960226833314,0.005706093742733987,50,0.0,0.0,0.0,1000,1662057957
2,0.509,0.496,0.47904454613734837,0.5377445410873539,0.003231729787938452,0.009521742504142481,0.008757273468432305,50,0.0,0.0,0.0,1000,1405681631
3,0.543,0.541,0.5341724220953437,0.2539236033945685,0.001488433990329909,0.007725125743854891,0.005174217096868863,50,0.0,0.0,0.0,1000,942484272
4,0.237,0.237,0.25279795195713367,0.41092297417497925,0.04525521460044185,0.029468897500194918,0.0018306961738908884,50,0.0,0.0,0.0,1000,929893137
5,0.27,0.27,0.2640559749721517,0.4848905138978843,0.0020442759441831704,0.02540445761455721,0.0038772717350143994,50,0.0,0.0,0.0,1000,1843824992
6,0.721,0.72,0.686866027652602,0.7912000813308566,0.028971550302414766,0.002507597231891779,0.0022416242873309023,50,0.0,0.0,0.0,1000,184566854
7,0.588,0.598,0.6051897476581434,0.6021397912242537,0.0013473640779209568,0.006171430889233369,0.007595051414148558,50,0.0,0.0,0.0,1000,1497586438
8,0.576,0.573,0.5886173146588212,0.6031507261901194,0.0004647530067774723,0.006443041712436278,0.0032569493685497323,50,0.0,0.0,0.0,1000,432652533
9,0.302,0.252,0.16096873780004578,0.17560138344046877,0.04081384537819403,0.024839756047241476,0.035464977981628794,50,0.0,0.0,0.0,1000,202244314
10,0.029,0.027,0.032116066540686515,0.029665325708658808,0.014637562625994869,0.09636150085067392,0.0028630825438381784,50,0.0,0.0,0.0,1000,1130604997
11,0.565,0.545,0.569304402288575,0.6212082131263061,0.00021152559396844282,0.007051139044226293,0.003029408719912555,50,0.0,0.0,0.0,1000,2095133045
12,0.856,0.837,0.9908762157643389,0.8654109597242341,0.04548638023475265,0.0007477990109109468,0.01844959564252576,50,0.0,0.0,0.0,1000,1580016183
13,0.749,0.756,0.7299518262497936,0.6876872157589777,0.030642749664814495,0.0019014072526073297,0.0012423302083717973,50,0.0,0.0,0.0,1000,1634535062
14,0.352,0.344,0.17490712637596587,0.25280838382642945,0.06209193286992117,0.019456373735962262,0.036715215593266654,50,0.0,0.0,0.0,1000,1540770719
15,0.234,0.282,0.2508731012907718,0.273929978660895,0.021174078815089377,0.02605163042091202,0.0007353248852259798,50,0.0,0.0,0.0,1000,1688060240
16,0.357,0.353,0.3106583657533126,0.437903222567111,0.009175622470722348,0.019719020932692195,0.0044896359594673385,50,0.0,0.0,0.0,1000,1102145672
17,0.09,0.087,0.1098309110531217,0.1706732264173494,0.011617909450123556,0.059732693658228295,0.026441649335531024,50,0.0,0.0,0.0,1000,275121930
18,0.489,0.508,0.4216298212471503,0.5310623765695174,0.043554104359194996,0.00928649503007691,0.00748078129779335,50,0.0,0.0,0.0,1000,1803345590
19,0.953,0.954,0.8811527369136583,0.9911049324613128,0.05945923197111896,8.112741600337549e-05,0.01524193265727547,50,0.0,0.0,0.0,1000,967196436
