,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.798,0.802,0.8083744728104536,0.7211179433357531,0.00017489369923703925,0.0012411645744979589,0.0005496518577861885,50,0.0,0.0,0.0,1000,191664963
1,0.495,0.499,0.502562416550407,0.6472728398059562,0.0017875586292053203,0.00889285373941021,0.006384259078499863,50,0.0,0.0,0.0,1000,1662057957
2,0.555,0.548,0.5241129787832195,0.5377445410873531,0.0031554882847508172,0.007613173841128046,0.009178355921751783,50,0.0,0.0,0.0,1000,1405681631
3,0.465,0.474,0.4611105466288161,0.2539236033945696,0.0009745922736718609,0.011040539426947481,0.005594482370924947,50,0.0,0.0,0.0,1000,942484272
4,0.24,0.222,0.2415656931175827,0.41092297417497925,0.04466245096725501,0.031416857423590565,0.002634704146124507,50,0.0,0.0,0.0,1000,929893137
5,0.266,0.248,0.26677455003932815,0.4848905138978843,0.001968890776403725,0.025231408418876132,0.0032046064183265596,50,0.0,0.0,0.0,1000,1843824992
6,0.74,0.73,0.7037265957689542,0.7912000813308563,0.026818304326227744,0.0022256160540573854,0.002230399018738407,50,0.0,0.0,0.0,1000,184566854
7,0.588,0.589,0.5971549133079141,0.6021397912242532,0.0008968762817954563,0.006345963307211868,0.0075712288069159596,50,0.0,0.0,0.0,1000,1497586438
8,0.544,0.548,0.5478017487509034,0.603150726190121,0.0002784323507443632,0.007885484399422523,0.003602242952905728,50,0.0,0.0,0.0,1000,432652533
9,0.311,0.259,0.15905316656657761,0.1756013834404689,0.0390285813118518,0.025347570757416407,0.03594749727831204,50,0.0,0.0,0.0,1000,202244314
10,0.031,0.031,0.03265628961931441,0.02966532570865876,0.014366134194343145,0.09611388370136709,0.0034309472998965075,50,0.0,0.0,0.0,1000,1130604997
11,0.63,0.652,0.6295160160696789,0.6212082131263057,0.00030217168869387407,0.005102557420265299,0.0025649069942367477,50,0.0,0.0,0.0,1000,2095133045
12,0.913,0.879,0.9627636028821795,0.8654109597242332,0.045192310282796314,0.0004916975555687547,0.018356313803514313,50,0.0,0.0,0.0,1000,1580016183
13,0.708,0.7,0.6841198960119133,0.6876872157589786,0.028845580311111906,0.0027479241897434017,0.0013678003712540355,50,0.0,0.0,0.0,1000,1634535062
14,0.333,0.339,0.17499842092379586,0.25280838382643045,0.06243293639862896,0.019466161040594055,0.03639693897573023,50,0.0,0.0,0.0,1000,1540770719
15,0.238,0.261,0.24929229212344678,0.27392997866089536,0.020295121879793016,0.025697182326359057,0.0015450811069090242,50,0.0,0.0,0.0,1000,1688060240
16,0.329,0.327,0.29319976852510665,0.43790322256711056,0.009535297767242686,0.021183800903608132,0.004568563212535636,50,0.0,0.0,0.0,1000,1102145672
17,0.115,0.117,0.13929486900487728,0.17067322641734914,0.01274444939303524,0.05210719468549208,0.025792816339518992,50,0.0,0.0,0.0,1000,275121930
18,0.466,0.456,0.40830327415862766,0.5310623765695177,0.0398895221391427,0.01047265050646345,0.006160554952444958,50,0.0,0.0,0.0,1000,1803345590
19,0.916,0.922,0.9081310310498006,0.9911049324613111,0.06132322306447208,0.00018914760068448604,0.014701723897558775,50,0.0,0.0,0.0,1000,967196436
20,0.796,0.805,0.7750659523890481,0.8902628970007304,0.0025714058255408142,0.0015455129342460058,0.0023706120107393406,50,0.0,0.0,0.0,1000,1074497555
21,0.479,0.484,0.42539495383787385,0.5558147452860078,0.02281155984870354,0.010341991081867513,0.00744111609856158,50,0.0,0.0,0.0,1000,796282693
22,0.318,0.324,0.4671625332218936,0.37523997010232957,0.10543985556191779,0.02149178177802958,0.021043264045473666,50,0.0,0.0,0.0,1000,392022359
23,0.085,0.092,0.09365278808955867,0.0973120215899113,0.0037072130670894733,0.06175473098749306,0.028185027684414988,50,0.0,0.0,0.0,1000,1990212658
24,0.403,0.384,0.43107148233900283,0.4018149906342615,0.0035474513587668206,0.016741056851943336,0.20310990178308375,50,0.0,0.0,0.0,1000,1678403330
25,0.361,0.352,0.379522867711627,0.3938743244214925,0.005661560670011938,0.015902696355366206,0.0005881432399009804,50,0.0,0.0,0.0,1000,1382689815
26,0.875,0.861,0.9834553458133277,0.8972235072321766,0.02421327519516465,0.0006197789397193743,0.03203468932244694,50,0.0,0.0,0.0,1000,864178266
27,0.504,0.507,0.41932121754797425,0.40926315971713034,0.006055306997744318,0.00973132688154097,0.044278154809317315,50,0.0,0.0,0.0,1000,1766867109
28,0.593,0.538,0.8667429564053425,0.8537254508285419,0.09634861404867535,0.007304663708477374,0.04062071249816225,50,0.0,0.0,0.0,1000,1171300112
29,0.052,0.069,0.048281628805679905,0.08886919613129057,0.0007480729690277282,0.07675769256866545,0.018960114395159308,50,0.0,0.0,0.0,1000,952224740
30,0.325,0.322,0.32310942498765516,0.20290105096565889,0.0016824311313950718,0.018750487438736498,0.019250035179688457,50,0.0,0.0,0.0,1000,967354524
31,0.19,0.192,0.19496319013907767,0.2664255467270173,0.029884067751290485,0.035074355337050236,0.00010589516615765583,50,0.0,0.0,0.0,1000,487991438
32,0.497,0.514,0.6020166024461642,0.5454963330231264,0.00951105293689508,0.009852593742926147,0.07115921670811615,50,0.0,0.0,0.0,1000,197860368
33,0.116,0.109,0.12266028963831165,0.18656497587835774,0.0018024825278817568,0.05120967213906701,0.0773379620009905,50,0.0,0.0,0.0,1000,1190961760
34,0.342,0.322,0.4191950045982755,0.4040773849034671,0.02310327099108595,0.021819873754570184,0.05002832767317801,50,0.0,0.0,0.0,1000,1906728918
35,0.699,0.678,0.7068331603856196,0.8235875994258159,0.01311740635606394,0.0032525051950920867,0.00040052099865037243,50,0.0,0.0,0.0,1000,137046513
36,0.622,0.598,0.5570169960267191,0.3261311530478902,0.01024833263634357,0.006126280737021293,0.004837636758954969,50,0.0,0.0,0.0,1000,1843166518
37,0.033,0.032,0.02707422017128366,0.08396943694200021,0.0013097392063399307,0.09821210609062168,0.0025033649089768704,50,0.0,0.0,0.0,1000,1777324407
38,0.183,0.168,0.1273415112741341,0.165289727138802,0.018957565731968273,0.03978406900819117,0.016117107626049888,50,0.0,0.0,0.0,1000,594336917
39,0.52,0.522,0.5318516697956599,0.6491485429574574,0.0014989120252965013,0.00896750949877704,0.009121308035253142,50,0.0,0.0,0.0,1000,1356488967
40,0.574,0.573,0.5432569755850057,0.4796477423320613,0.03345494224572264,0.006125786849979638,0.0024698625589231996,50,0.0,0.0,0.0,1000,354826746
