,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.489,0.487,0.6316691363674962,0.7211179433357531,0.007879831755280052,0.004824169556747904,2.8773419462038753e-05,50,0.0,0.0,0.0,1000,191664963
1,0.948,0.949,0.9446097179252252,0.6472728398059562,0.0030485991035036713,0.0001810177789896574,0.003571975372249609,50,0.0,0.0,0.0,1000,1662057957
2,0.657,0.648,0.6625968913750806,0.5377445410873531,0.0011592039259216474,0.003895946357120394,0.0017147032382181413,50,0.0,0.0,0.0,1000,1405681631
3,0.187,0.199,0.38055274227673386,0.2539236033945696,0.008711467367526008,0.01883970388594967,0.012853023640465705,50,0.0,0.0,0.0,1000,942484272
4,0.031,0.033,0.00011197466758159414,0.41092297417497925,0.044338054805422585,0.2826553757259813,0.011356752896476818,50,0.0,0.0,0.0,1000,929893137
5,0.164,0.164,0.5729487993562257,0.4848905138978843,0.012268107972714364,0.002508969106414025,0.06880756085287652,50,0.0,0.0,0.0,1000,1843824992
6,0.454,0.438,0.42704895649820285,0.7912000813308563,0.00029663528849280994,0.013703386252670802,0.006320856672727485,50,0.0,0.0,0.0,1000,184566854
7,0.374,0.478,0.6572536872693632,0.6021397912242532,0.047844203763448716,0.003944300703603741,8.030060020366076e-06,50,0.0,0.0,0.0,1000,1497586438
8,0.397,0.404,0.7266791581098113,0.603150726190121,0.006336582842507642,0.0020562276249607107,0.004932253547386354,50,0.0,0.0,0.0,1000,432652533
9,0.409,0.201,0.3131585639983611,0.1756013834404689,0.0721900602084589,0.008126924648116542,0.033463861580864354,50,0.0,0.0,0.0,1000,202244314
10,0.68,0.681,0.7807081166601986,0.02966532570865876,0.017201016878200175,0.002017239217059644,0.0011678560787269855,50,0.0,0.0,0.0,1000,1130604997
11,0.225,0.217,0.6390499770380358,0.6212082131263057,0.03884332821753479,0.003646055505887819,0.0012351281241886913,50,0.0,0.0,0.0,1000,2095133045
12,0.731,0.729,0.7592146246920735,0.8654109597242332,0.00627243590511775,0.001912286664588923,0.000175888094909208,50,0.0,0.0,0.0,1000,1580016183
13,0.106,0.105,0.5885703945717785,0.6876872157589786,0.0003101675757599113,0.00564020983290298,0.028200432071443727,50,0.0,0.0,0.0,1000,1634535062
14,0.005,0.006,0.0003206449745143649,0.25280838382643045,0.011227366358639482,0.24600541278219484,0.00425941302532622,50,0.0,0.0,0.0,1000,1540770719
15,0.71,0.712,0.7732562826895955,0.27392997866089536,0.00022840725296270338,0.0018387476019948309,0.002139426706479737,50,0.0,0.0,0.0,1000,1688060240
16,0.876,0.881,0.9097634098725138,0.43790322256711056,0.00016007627174582822,0.0002593443802572691,0.0015642807107838145,50,0.0,0.0,0.0,1000,1102145672
17,0.994,0.994,0.9775247708094258,0.17067322641734914,0.0002315489248760709,4.273587999115608e-06,0.017739210510875406,50,0.0,0.0,0.0,1000,275121930
18,0.375,0.378,0.38654442134114597,0.5310623765695177,0.008860610002113384,0.011106264836336317,0.03720021750446133,50,0.0,0.0,0.0,1000,1803345590
19,0.443,0.441,0.5250764250599689,0.9911049324613111,0.013970945578809376,0.006501736920202281,0.009119839637247681,50,0.0,0.0,0.0,1000,967196436
20,0.861,0.902,0.5329205721313586,0.8902628970007304,0.03896984067787718,0.0011034504003177062,0.07196187792766824,50,0.0,0.0,0.0,1000,1074497555
21,0.903,0.907,0.7682162604548766,0.5558147452860078,0.015443921174645943,0.001186418818481938,0.004483543409197625,50,0.0,0.0,0.0,1000,796282693
22,0.681,0.686,0.760770977874372,0.37523997010232957,0.00539123126396425,0.0017909502247731343,0.0008705447749277591,50,0.0,0.0,0.0,1000,392022359
23,0.767,0.801,0.693174963924059,0.0973120215899113,0.027220571303018814,0.001515674772286417,0.011580277581010294,50,0.0,0.0,0.0,1000,1990212658
24,0.082,0.079,0.32608320290738235,0.4018149906342615,0.007052482956861633,0.023170549713185256,0.015943745383705413,50,0.0,0.0,0.0,1000,1678403330
25,0.266,0.27,0.47394370247498707,0.3938743244214925,0.0033107905943156636,0.008119466875783835,0.04421674457785797,50,0.0,0.0,0.0,1000,1382689815
26,0.934,0.934,0.9548688575523971,0.8972235072321766,0.011804062813523848,0.00011901988226590899,0.0006004611204843748,50,0.0,0.0,0.0,1000,864178266
27,0.164,0.17,0.8238533633341436,0.40926315971713034,0.016398476916815185,0.0031929676835702166,0.03736273536036708,50,0.0,0.0,0.0,1000,1766867109
28,0.377,0.388,0.6728596302108034,0.8537254508285419,0.00029403843712364587,0.0034799958290857628,0.017966296471554833,50,0.0,0.0,0.0,1000,1171300112
29,0.322,0.323,0.6924281578433629,0.08886919613129057,0.0440902479729269,0.003315832814697788,1.9129746406513666e-05,50,0.0,0.0,0.0,1000,952224740
30,0.973,0.974,0.9840046666346285,0.20290105096565889,3.1222141725965766e-07,8.877043351596633e-06,0.008812142838707232,50,0.0,0.0,0.0,1000,967354524
31,0.869,0.846,0.8753937908283651,0.2664255467270173,0.012222483248034904,0.0011309189499803384,0.009701032792119561,50,0.0,0.0,0.0,1000,487991438
